X_LANE
X_LANE_GID,X_LANE_XID,SOURCE_LOCATION_GID,SOURCE_CITY,SOURCE_PROVINCE_CODE,SOURCE_POSTAL_CODE,SOURCE_COUNTRY_CODE3_GID,SOURCE_ZONE4,SOURCE_ZONE1,SOURCE_ZONE2,SOURCE_ZONE3,SOURCE_GEO_HIERARCHY_GID,DEST_LOCATION_GID,DEST_CITY,DEST_PROVINCE_CODE,DEST_POSTAL_CODE,DEST_COUNTRY_CODE3_GID,DEST_ZONE4,DEST_ZONE1,DEST_ZONE2,DEST_ZONE3,DEST_GEO_HIERARCHY_GID,SOURCE_REGION_GID,DEST_REGION_GID,CONSTRAINT_SET_GID,PLANNING_PARAMETER_SET_GID,SOURCE_RAIL_SPLC_GID,DEST_RAIL_SPLC_GID,SOURCE_RAIL_STATION_CODE_GID,DEST_RAIL_STATION_CODE_GID,P_RULE_SET_GID,DOMAIN_NAME,INSERT_USER,INSERT_DATE,UPDATE_USER,UPDATE_DATE
EXEC SQL ALTER SESSION SET NLS_DATE_FORMAT = 'YYYYMMDDHH24MISS'
"DEMODOMAIN.USA TO USA","USA TO USA",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809041635",,
"DEMODOMAIN.MEX TO FRA","MEX TO FRA",,,,,"MEX",,,,,"COUNTRY",,,,,"FRA",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809041803",,
"DEMODOMAIN.1","1",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809044421",,
"DEMODOMAIN.2","2",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809044719",,
"DEMODOMAIN.22","22",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809045213",,
"DEMODOMAIN.23","23",,,,,,,,,,,,,,,,,,,,,"DEMODOMAIN.WEST","DEMODOMAIN.EAST",,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809045429",,
"DEMODOMAIN.21","21",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809044934",,
"DEMODOMAIN.180633348","180633348",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160812152510",,
"DEMODOMAIN.180633349","180633349",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160812153509",,
"DEMODOMAIN.180633350","180633350",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160812153718",,
"DEMODOMAIN.180633351","180633351",,,,,,,,,,,,,,,,,,,,,"DEMODOMAIN.WEST","DEMODOMAIN.EAST",,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160812153846",,
"DEMODOMAIN.180633368","180633368",,,,,"US",,,,,"COUNTRY",,,,,"US",,,,,"COUNTRY",,,,,,,,,,"DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160812161619",,	
