LOCATION_STATUS
LOCATION_GID,STATUS_TYPE_GID,STATUS_VALUE_GID,DOMAIN_NAME,INSERT_USER,INSERT_DATE,UPDATE_USER,UPDATE_DATE
EXEC SQL ALTER SESSION SET NLS_DATE_FORMAT = 'YYYYMMDDHH24MISS'
"DEMODOMAIN.JBHUNT","DEMODOMAIN.CREDIT LEVEL","DEMODOMAIN.CREDIT LEVEL_UNKNOWN","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809035913",,
"DEMODOMAIN.JBHUNT","DEMODOMAIN.LOCATION GUARANTEED DELIVERY","DEMODOMAIN.LOCATION GUARANTEED DELIVERY_NOT STARTED","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809035913",,
"DEMODOMAIN.LOS ANGELES-CA","DEMODOMAIN.LOCATION GUARANTEED DELIVERY","DEMODOMAIN.LOCATION GUARANTEED DELIVERY_NOT STARTED","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809033753",,
"DEMODOMAIN.LOS ANGELES-CA","DEMODOMAIN.CREDIT LEVEL","DEMODOMAIN.CREDIT LEVEL_UNKNOWN","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809033753",,
"DEMODOMAIN.LAS VEGAS-NV","DEMODOMAIN.LOCATION GUARANTEED DELIVERY","DEMODOMAIN.LOCATION GUARANTEED DELIVERY_NOT STARTED","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809033949",,
"DEMODOMAIN.LAS VEGAS-NV","DEMODOMAIN.CREDIT LEVEL","DEMODOMAIN.CREDIT LEVEL_UNKNOWN","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809033949",,
"DEMODOMAIN.BOSTON-MA","DEMODOMAIN.CREDIT LEVEL","DEMODOMAIN.CREDIT LEVEL_UNKNOWN","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809034147",,
"DEMODOMAIN.BOSTON-MA","DEMODOMAIN.LOCATION GUARANTEED DELIVERY","DEMODOMAIN.LOCATION GUARANTEED DELIVERY_NOT STARTED","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809034147",,
"DEMODOMAIN.YELLOW","DEMODOMAIN.LOCATION GUARANTEED DELIVERY","DEMODOMAIN.LOCATION GUARANTEED DELIVERY_NOT STARTED","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809040104",,
"DEMODOMAIN.YELLOW","DEMODOMAIN.CREDIT LEVEL","DEMODOMAIN.CREDIT LEVEL_UNKNOWN","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809040104",,
"DEMODOMAIN.LTL SMC SERVPROV","DEMODOMAIN.LOCATION GUARANTEED DELIVERY","DEMODOMAIN.LOCATION GUARANTEED DELIVERY_NOT STARTED","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809040255",,
"DEMODOMAIN.LTL SMC SERVPROV","DEMODOMAIN.CREDIT LEVEL","DEMODOMAIN.CREDIT LEVEL_UNKNOWN","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809040255",,
"DEMODOMAIN.TL CARRIER","DEMODOMAIN.CREDIT LEVEL","DEMODOMAIN.CREDIT LEVEL_UNKNOWN","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809040445",,
"DEMODOMAIN.TL CARRIER","DEMODOMAIN.LOCATION GUARANTEED DELIVERY","DEMODOMAIN.LOCATION GUARANTEED DELIVERY_NOT STARTED","DEMODOMAIN","DEMODOMAIN.DEMOUSER","20160809040445",,
