SAVED_QUERY_VALUES
SAVED_QUERY_GID,QUERY_VALUE,QUERY_TYPE,DOMAIN_NAME,INSERT_USER,INSERT_DATE,UPDATE_USER,UPDATE_DATE
EXEC SQL ALTER SESSION SET NLS_DATE_FORMAT = 'YYYYMMDDHH24MISS'
"AUTOCLOUD2.SPATIALCITYPROVDISTANCEQUERY","request_type=DISTANCE","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703044143",,
"AUTOCLOUD2.SPATIALCITYPROVDISTANCEQUERY","rate_distance=AUTOCLOUD2.SPATIAL CITY_PROV","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703044143",,
"AUTOCLOUD2.SPATIALCITYPROVDISTANCEQUERY","location_xid_src=AUTOCLOUD2.LOS ANGELES-CA","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703044143",,
"AUTOCLOUD2.SPATIALCITYPROVDISTANCEQUERY","location_xid_dest=AUTOCLOUD2.LAS VEGAS-NV","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703044143",,
"AUTOCLOUD2.FIND SHIPMENT FOR ORDER","(o.order_release_xid like 'OR-LINE%')","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20160809035437",,
"AUTOCLOUD2.PCMILERDISTANCEQUERY","request_type=DISTANCE","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703043904",,
"AUTOCLOUD2.PCMILERDISTANCEQUERY","rate_distance=AUTOCLOUD2.PCMILER WEB SERVICE-POSTAL CODE","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703043904",,
"AUTOCLOUD2.PCMILERDISTANCEQUERY","country_code_src=US","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703043904",,
"AUTOCLOUD2.PCMILERDISTANCEQUERY","postal_code_src=18914","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703043904",,
"AUTOCLOUD2.PCMILERDISTANCEQUERY","country_code_dest=US","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703043904",,
"AUTOCLOUD2.PCMILERDISTANCEQUERY","postal_code_dest=77584","G","AUTOCLOUD2","AUTOCLOUD2.AUTOCLOUD2","20190703043904",,
